"PractitionerRoleId","PractitionerNPI","PractitionerName","OrganizationId","OrganizationName","LocationId","LocationName","Role","Specialty"
"72a16942-0ce3-a291-895d-5de7c3a25a08","9999984591","Dr. Manuela585 RendÃ³n540","74ab949d-17ac-3309-83a0-13b4405c66aa","Fitchburg Outpatient Clinic","81c75a54-2b95-3fdf-9327-b74df8630869","Fitchburg Outpatient Clinic","General Practice Physician","General Practice Physician"
"9c9df069-ea70-809d-779c-31acff5c9f8a","9999928192","Dr. Olympia319 Ward668","17a4bae5-8b64-34d7-8144-b428be027bd0","NURSE ON CALL","07aec8d6-287d-30ac-81a8-752782163466","NURSE ON CALL","General Practice Physician","General Practice Physician"
"f3a9d700-f059-4c64-b73f-b642dcc05bc7","9999939991","Dr. Jolie499 Parisian75","ab701a70-a658-340e-8f69-ee196a7d40c6","CAREWELL URGENT CARE CENTERS OF MA, PC","a61711be-e3c2-30b5-a3df-db42249f0e27","CAREWELL URGENT CARE CENTERS OF MA, PC","General Practice Physician","General Practice Physician"
"1a9c460a-a593-7b21-8c4c-ad3d5d945eae","9999945097","Dr. Tracey100 Champlin946","4cf79e95-2815-3a4c-a3b8-951fe548dd27","BERKSHIRE FAMILY PRACTICE ASSOCIATES PC","79eb760e-d3a4-3d2e-b487-bc46f62af19d","BERKSHIRE FAMILY PRACTICE ASSOCIATES PC","General Practice Physician","General Practice Physician"
"e0eb8de6-143c-3eef-ca35-2c677b574790","9999992792","Dr. Omer483 Koepp521","18061fd5-fda8-3e2d-87f0-0f3c87211bcc","CAMBRIDGE PUBLIC HEALTH COMMISSION","a98309fe-6acd-30f8-81e8-a4a947138296","CAMBRIDGE PUBLIC HEALTH COMMISSION","General Practice Physician","General Practice Physician"
"b76459c1-1814-3b8c-ce7e-0baba042de57","9999937797","Dr. Bertram873 Kutch271","d4e48a16-0a60-3e90-81e5-c35b22ffe6af","GREEN MOUNTAIN URGENT CARE LLC","61728ca7-d723-3602-a9b5-e6efddc42982","GREEN MOUNTAIN URGENT CARE LLC","General Practice Physician","General Practice Physician"
"bc55da90-c9c8-dc48-ed9a-75b8200b15f4","9999945790","Dr. Will178 Bernhard322","0d24cc89-3256-330c-b36d-d8de8babef84","CAPE COD HEALTHCARE PHYSICIANS","6e22abbe-b3a1-39a8-a429-9957b3244188","CAPE COD HEALTHCARE PHYSICIANS","General Practice Physician","General Practice Physician"
"a8bff17b-a5cd-638f-a3c4-4efbcee1a386","9999890293","Dr. Clement78 Gleason633","db28cc9a-fdfb-35a6-aef7-ab9b933ef244","CAMBRIDGE REHABILITATION & NURSING CENTER","9a277a7c-edef-39ed-a619-58dc818c416d","CAMBRIDGE REHABILITATION & NURSING CENTER","General Practice Physician","General Practice Physician"
"bdb17e7e-02f9-8866-9cbb-50e4f931db96","9999939595","Dr. Norbert530 White193","aba3e6f6-4562-342e-b90f-dd61b117f394","MEDICAL EXPRESS URGENT CARE CENTER CO INC","576d472f-8972-352f-ad63-027e07f892ae","MEDICAL EXPRESS URGENT CARE CENTER CO INC","General Practice Physician","General Practice Physician"
"51b8aa4d-0804-a56b-6335-c417de1a52be","9999871194","Dr. Myrle831 D'Amore443","5a6fa8a5-90e2-3f70-bb3e-3d9dd7ad2f96","CHICOPEE REHABILITATION AND NURSING CENTER LLC","ccea3021-9716-3218-a8cb-7a701fe63b44","CHICOPEE REHABILITATION AND NURSING CENTER LLC","General Practice Physician","General Practice Physician"
"356d07ca-4152-e2d0-e79d-71197e56835e","9999949198","Dr. Valentine262 Leannon79","a2d45ee8-b930-3169-b612-f602961ad212","SUNRISE HEALTHCARE LLC","47a2789d-e285-3254-8365-34149cfbc8d1","SUNRISE HEALTHCARE LLC","General Practice Physician","General Practice Physician"
"246b6d4c-845c-002c-581e-4663eca35a50","9999992198","Dr. Randy380 Bergstrom287","497f39dd-280e-3d58-af5b-c5e3a3a09b10","CAPE COD HOSPITAL INC","92b97a14-2913-30e3-99ba-39c987e4a9f6","CAPE COD HOSPITAL INC","General Practice Physician","General Practice Physician"
"4919c3e3-28f4-5ca2-a889-2f8abc611a6d","9999993790","Dr. Waldo53 Hintz995","5b0cd0a0-f277-3a66-bee6-d64b5be4a3f5","BERKSHIRE MEDICAL CENTER INC - 1","d9dd2699-ec1b-3b77-8b83-33d437131ded","BERKSHIRE MEDICAL CENTER INC - 1","General Practice Physician","General Practice Physician"
"5452b6cd-890a-120e-2c3c-9041194c7a24","9999999094","Dr. Federico589 Kuhic920","ad2dab07-4f85-3950-baaa-7c7cd2aa770c","UNIVERSITY OF MA MED CTR-ESRD","e8ec5d21-a9c6-3c2f-b625-8339be252ee5","UNIVERSITY OF MA MED CTR-ESRD","General Practice Physician","General Practice Physician"
"5c7ede53-75ab-8b50-3968-f1e980cad237","9999991299","Dr. Jean712 Koelpin146","0d9b0d22-585e-3fd8-ab02-26b5be7915d1","THE SHRINERS HOSPITAL FOR CHILDREN","00bf87a2-f745-3f3f-93e0-3ba5ff32c1e6","THE SHRINERS HOSPITAL FOR CHILDREN","General Practice Physician","General Practice Physician"
"585a6c92-aacd-8941-5d35-b05cabb9bac1","9999942896","Dr. Quentin28 Fritsch593","aad05540-c9cb-3805-b3c4-f9b9d9b42b2e","RIVER'S EDGE PRIMARY CARE LLC","a3d9fbb2-8e79-3105-8bf0-ccd519a97ca2","RIVER'S EDGE PRIMARY CARE LLC","General Practice Physician","General Practice Physician"
"00590cd6-c9f9-ba82-e7ce-84e24dd336c1","9999987693","Dr. Eugene421 Rohan584","1cec4304-9757-3a10-ad4f-7e2090c56131","UMASS MEMORIAL MEDICAL CENTER INC","34d300db-86bd-3ca9-9a41-bf7ac5895e52","UMASS MEMORIAL MEDICAL CENTER INC","General Practice Physician","General Practice Physician"
"fe58351f-a525-57be-0034-cdae653ac0bf","9999886390","Dr. Shayne60 Gutmann970","a036cdf2-bbc5-3ffd-987f-56e437fd8b74","WINDSOR NURSING & RETIREMENT HOME","1a3e0e85-0de4-360b-981c-53434f0c0a0e","WINDSOR NURSING & RETIREMENT HOME","General Practice Physician","General Practice Physician"
"8a5134d4-ac1d-e0f6-f5a0-6d7961c81076","9999910893","Dr. Brooks264 Williamson769","615416de-5217-3c11-9828-2d4bacd1d9cb","VISITING NURSE ASSOCIATION OF CAPE COD, INC.","81cd6838-00bc-3e63-a2fc-4a35d4a3616a","VISITING NURSE ASSOCIATION OF CAPE COD, INC.","General Practice Physician","General Practice Physician"
"53f60438-c056-e2ed-0f81-4468fa5510ad","9999947796","Dr. Elmer371 Gusikowski974","e2a8b444-9b8f-36ff-84c4-05ee98589482","WHITLEY WELLNESS LLC","16162e2e-393c-3162-8e09-a84a60d825c4","WHITLEY WELLNESS LLC","General Practice Physician","General Practice Physician"
"4ee36186-bf58-35ac-d1e8-137396f8c76c","9999881391","Dr. Cindi877 Rowe323","65dac97b-bb0c-38ae-94bc-bf29ac9687ea","CRANEVILLE PLACE REHABILITATION & SKILLED  CARE CT","0e7ef1bc-f665-333b-9ca3-8c058b6091f1","CRANEVILLE PLACE REHABILITATION & SKILLED  CARE CT","General Practice Physician","General Practice Physician"
"08af3658-e9fb-f181-1db0-2bc3e2dcc6ed","9999947994","Dr. Len277 Wintheiser220","11a40a26-a5a3-331d-aef0-d06dd90e2b4e","CAPE COD PRIMARY CARE LLC","edc0a1c1-a380-33d9-8e08-549bc0e3bcf1","CAPE COD PRIMARY CARE LLC","General Practice Physician","General Practice Physician"
"f4c7e5b2-5b8e-770e-1791-ea960a016afb","9999933093","Dr. Milda157 Schoen8","95f6c328-96dd-3fb8-a56e-9aad566094b4","EXCEL HOME CARE SERVICES INC","08d8f34c-aba8-35ca-9cbd-e1f921b0a198","EXCEL HOME CARE SERVICES INC","General Practice Physician","General Practice Physician"
"cfdd1aa2-daa8-6aea-451c-86173dbdff8b","9999938597","Dr. Vicente970 Gallardo890","0592d4e5-a0fb-3143-83cd-8e5a6b066a96","SOUTH SHORE PRIMARY AND URGENT CARE LLC","babb5508-b5dd-3973-8aca-e80876d2ab06","SOUTH SHORE PRIMARY AND URGENT CARE LLC","General Practice Physician","General Practice Physician"
